1. В каком году началась разработка "Python", a) 1984, b) 1996, c) 1989, c) 1989
2. Что такое "Python", a) Модуль, b) Змея, c) Язык программирования, c) Язык программирования
3. Какие фунции не используют в "Python", a) Print, b) Len, c) The, c) The
4. Что такое "while"?, a) Цикл, b) Функция, c) Оператор , a) Цикл
5. Сколько функций можно использовать в одном проекте?, a) 1, b) 6, c) неограниченое количество, c) неограниченое количество
6. Что такое "for"?, a) Функция, b) Цикл, c) Модуль, b) Цикл
7. Какая функция в питоне возвращает значение?, a) return, b) while, c) for, a) return
8. Что такое "int()", a) Функция, b Модуль, c) Оператор, a) Функция
9. Для чего в питоне используют "input", a) Для считования информации, b) Для прочтения текста, c) Для ввода данных в программу, c) Для ввода данных в программу
10. Какая функция отвечает за список?, a) ascii, b) list, c) classmethod, b) list
11. Что такое регулярное выражение?, a) Шаблон описывающий множество строк, b) Шаблон для поиска файлов в каталоге, c) Шаблон для операции форматирования, a) Шаблон описывающий множество строк
12. Что будет в результате "print('Hello - world')", a) Hello, b) World, c) Hello - world, c) Hello - world
13. Ипользуются ли питоне масивы?, a) Да, b) Нет, c) Используются со списками, a) Да
14. Что является инструкцией для функции-, a) def, b) While, c)True, a) def
15. Чему будет равно значение из скобок-(8.4//2), a) 4, b) 2.2, c) 4.2, a) 4
16. Команда "from" может-, a) Импортировать весь модуль , b) Импортировать лишь неопределённую часть модуля, c) Импортировать определенное содержимое модуля, c) Импортировать определенное содержимое модуля
17. Какая функция может отсчитовать время?, a) Time, b) time, c) localtime, b) time
18. С помощью какой функции можно создать словарь?., a) float, b) str, c) dict, c) dict
19. Каким знаком обозначить переменную?, a) -, b) =, c) /, b) =
20. Что делает оператор "break"?, a) Начинает цикл, b) Перезапускает цикл, c) Прерывает цикл, c) Прерывает цикл